Pdv;NOM PDV;RUE;Rue 2;CP;LOCALITE;Téléphone;E-Mail distributeur;Canal;Libellé;S-Canal;Libellé;Tête de groupe;Nom tête de groupe;Intercanal;Désignation Inter-canal;AGENCE COM.;Libellé;Chef vente;Libellé;Ingénieur Com;Libellé;Pdv en travaux
1001763;ALPHA MOBILES VALENCIENNES;12 RUE DU QUESNOY;;59300;VALENCIENNES;03 27 32 94 44;valenciennes@alphamobiles.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1001807;ALPHA MOBILES SYSTEMES;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z23;F. Groux;M07;M. Matuszak;NON
1001766;ATW NICE MASSENA;4 RUE MASSENA;;6000;NICE;04 93 82 07 70;atwari@wanadoo.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1001837;ATW;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z10;F. Depreeuw;M31;P. Roby;NON
1001769;VDCOM PGP LA ROCHE S YON CLEMENCEAU;22 RUE GEORGES CLEMENCEAU;;85000;LA ROCHE SUR YON;02 51 47 89 88;vdcomlaroche@vdcom.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;368000;VD COM SAS;IC08;INDEPENDANTS;AG03;Ouest PGP;Z22;Y. Daniel;M53;C. Dupont Mancel;NON
1001771;INTER@'COM PUY EN VELAY;3 BOULEVARD SAINT LOUIS;;43000;LE PUY EN VELAY;04 71 02 69 97;espacesfrlepuy@interacom.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;103000;INTER@'COM;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z08;D. Parent Claude;M17;R. Bodelle;NON
1001778;MODULO CARTES LAVAL;13 RUE DU GENERAL DE GAULLE;;53000;LAVAL;02 43 49 17 62;laval@modulocartes.fr;C3;C3 Réseau Direct;S3;EspaceSFR indep 2009;1001777;MODULO CARTES GRAND PUBLIC;IC08;INDEPENDANTS;AG03;Ouest PGP;Z15;PAP CVR OUEST;M47;C. Miegebielle;NON
1001784;STAR AUTO II STRASBOURG.;6 RUE DU NOYER;;67000;STRASBOURG;03 88 23 68 68;espacesfr.strasbourg@sfr.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1001783;STAR AUTO;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z07;G. Dommain;M05;E. Feltes;NON
1001864;INTERCOM FOUGERES;11 BD JEAN JAURES;;35300;FOUGERES;02 99 94 84 20;sfrfougeres@ferrontelecom.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1000632;FERRON TELECOM;IC08;INDEPENDANTS;AG03;Ouest PGP;Z22;Y. Daniel;M86;S. Allain;NON
1002192;EQUIP TEL NIMES;14 AVENUE DU GENERAL PERRIER;;30000;NIMES;04 66 76 05 02;espacesfr.nimes@gmail.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1002191;EQUIP'AUTO;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z16;S. Mattei;M87;M. Gonzalez;NON
1002310;ALPHA MOBILES CAMBRAI;4 AVENUE DE LA VICTOIRE;;59400;CAMBRAI;03 27 82 45 93;cambrai@alphamobiles.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1001807;ALPHA MOBILES SYSTEMES;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z24;A. Courouble;M11;C. Meresse;NON
1002484;AB TELECOM ANTIBES;2 BIS RUE DE LA REPUBLIQUE;;6600;ANTIBES;04 92 90 61 10;sfrantibes@gmail.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1002483;AB TELECOM;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z10;F. Depreeuw;M37;D. Alcantara;NON
1002842;ATW NICE J MEDECIN;48 AVENUE JEAN MEDECIN;;6000;NICE;04 93 85 03 02;atwgad@wanadoo.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1001837;ATW;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z10;F. Depreeuw;M31;P. Roby;NON
1002907;RADIOTEL AUVERGNE MONTLUCON;51 BOULEVARD DE COURTAIS;;3100;MONTLUCON;04 70 29 07 07;montlucon@radiotel.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1049009;RADIOTEL AUVERGNE;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z09;A. Chareyron;M24;PAP 1 CE;NON
1002925;AB TELECOM CAGNES SUR MER;2 BOULEVARD MARECHAL JUIN;;6800;CAGNES SUR MER;04 92 02 97 06;sfrcagnes@gmail.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1002483;AB TELECOM;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z10;F. Depreeuw;M37;D. Alcantara;NON
1002940;INTERCOM RENNES;3 RUE LE BASTARD;;35000;RENNES;02 99 78 86 10;sfrrennes@ferrontelecom.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1000632;FERRON TELECOM;IC08;INDEPENDANTS;AG03;Ouest PGP;Z22;Y. Daniel;M09;P. Quilgars;NON
1003249;LCT TARBES;18 RUE DU MARECHAL FOCH;;65000;TARBES;05 62 93 33 50;sav.tarbes@lct.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1022367;LCT;IC08;INDEPENDANTS;AG06;Sud-Ouest PGP;Z26;R. Juan;M40;L. Pravie;NON
1003409;VD COM PGP CHOLET;118 RUE NATIONALE;PLACE TRAVOT;49300;CHOLET;02 41 29 07 50;vdcomcholet@vdcom.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;368000;VD COM SAS;IC08;INDEPENDANTS;AG03;Ouest PGP;Z15;PAP CVR OUEST;M47;C. Miegebielle;NON
1003699;FOX TELECOM PROVINS;11 PLACE ST AYOUL;;77160;PROVINS;01 64 01 46 07;provins@foxtelecom.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1000683;FOX TELECOM;IC08;INDEPENDANTS;AG01;Ile-de-France PGP;Z19;J. Zenou;M70;A. Fakhour;NON
1003716;HAGUENAU TELECOM;65 GRANDE RUE;;67500;HAGUENAU;03 88 07 11 88;haguenau.telecom@gmail.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1001883;FISCHER TELECOM SAS;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z28;T. Pilet;M79;A. Martinez;NON
1003838;CORSE GSM AJACCIO NAPOLEON 60;60 COURS NAPOLEON;;20000;AJACCIO;04 95 50 06 42;agence11@corsegsm.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1011560;CORSE GSM / SOCODI;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z10;F. Depreeuw;M37;D. Alcantara;NON
1004037;AU RELAIS TELECOM COMPIEGNE;30 RUE DE SOLFERINO;;60200;COMPIEGNE;03 44 38 02 02;compiegne.sfr@aurelais.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1002618;AU RELAIS TELECOM SA;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z23;F. Groux;M03;O. Lambin;NON
1004113;COM ' EURO CARCASSONNE;C CIAL GEANT SALVAZA;;11000;CARCASSONNE;04 68 47 56 93;comeurosfr@gmail.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1007509;COM EURO;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z27;N. Salles;M72;N. De La Hoz;NON
1004166;AB TELECOM GRASSE;118 ROUTE DE CANNES;;6130;GRASSE;04 92 90 61 11;sfrgrasseplan@gmail.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1002483;AB TELECOM;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z10;F. Depreeuw;M37;D. Alcantara;NON
1004206;WEB in FRANCE - SAINT GAUDENS;43 RUE DE LA REPUBLIQUE;;31800;SAINT GAUDENS;05 62 00 88 01;wif31@hotmail.fr;C3;C3 Réseau Direct;S3;EspaceSFR indep 2009;1022891;WEB IN FRANCE;IC08;INDEPENDANTS;AG06;Sud-Ouest PGP;Z26;R. Juan;M42;M. Mouhiddine;NON
1004293;NIORT TELECOM;7 RUE VICTOR HUGO;;79000;NIORT;05 49 08 18 88;espacesfrniorttelecom@yahoo.fr;C3;C3 Réseau Direct;S3;EspaceSFR indep 2009;1029866;NIORT TELECOM;IC08;INDEPENDANTS;AG06;Sud-Ouest PGP;Z13;D. Sauvanet;M44;P. Soetaert;NON
1004376;AU RELAIS TELECOM SOISSONS;17 RUE DU COMMERCE;;2200;SOISSONS;03 23 59 00 33;soissons.sfr@aurelais.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1002618;AU RELAIS TELECOM SA;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z23;F. Groux;M04;N. Martel;NON
1004733;ESPACE COM CHATELLERAULT;59 BOULEVARD BLOSSAC;ALIPHONE;86100;CHATELLERAULT;05 49 85 80 30;bourbon@aliphone.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1011906;ALIPHONE;IC08;INDEPENDANTS;AG06;Sud-Ouest PGP;Z13;D. Sauvanet;M43;V. Bernard;NON
1004998;MERILAC-TELECOM AVENUE ORLEANS Rep.;16 RUE DE LA REPUBLIQUE;;45000;ORLEANS;02 38 74 78 00;espace.sfr.republique@gmail.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1014026;MERILAC;IC08;INDEPENDANTS;AG03;Ouest PGP;Z15;PAP CVR OUEST;M48;PAP OUEST 1;NON
1006444;AU RELAIS TELECOM NOGENT SUR OISE;CCIAL AUCHAN;110 AVENUE DE L EUROPE;60180;NOGENT SUR OISE;03 44 53 70 06;nogent.sfr@aurelais.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1002618;AU RELAIS TELECOM SA;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z23;F. Groux;M03;O. Lambin;NON
1006445;FORBACH TELECOM;118 RUE NATIONALE;;57600;FORBACH;03 87 88 71 11;forbach.telecom@gmail.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1001883;FISCHER TELECOM SAS;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z07;G. Dommain;M77;G. Lacoste;NON
1006453;MODULO CARTES FLERS;2 RUE DE PARIS;;61100;FLERS;02 33 66 67 61;flers@modulocartes.fr;C3;C3 Réseau Direct;S3;EspaceSFR indep 2009;1001777;MODULO CARTES GRAND PUBLIC;IC08;INDEPENDANTS;AG03;Ouest PGP;Z21;G. Allain;M49;S. Menin;NON
1006506;ATLANTIC TELECOM CHATEAU D'OLONNE;C CIAL GEANT;CELLULE 15;85180;CHATEAU D'OLONNE;02 51 90 83 84;atlantic.telecom.ls@sfr.fr;C3;C3 Réseau Direct;S3;EspaceSFR indep 2009;1006505;ATLANTIC TELECOM;IC08;INDEPENDANTS;AG03;Ouest PGP;Z22;Y. Daniel;M53;C. Dupont Mancel;NON
1006507;ORIGAN COMMUNICATION MONTELIMAR;97 RUE PIERRE JULIEN;;26200;MONTELIMAR;04 75 00 91 38;origancom@gmail.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;138000;ORIGAN COMMUNICATIONS;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z08;D. Parent Claude;M17;R. Bodelle;NON
1006688;QUICK NET ALBI;26 RUE AUGUSTIN MALROUX;;81000;ALBI;05 63 43 00 66;sfr.albi@quicknet.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1017907;QUICK NET;IC08;INDEPENDANTS;AG06;Sud-Ouest PGP;Z26;R. Juan;M39;I. Trift;NON
1006787;FOX TELECOM R SENS;78 RUE DE LA REPUBLIQUE;;89100;SENS;03 86 83 78 37;sens@foxtelecom.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1000683;FOX TELECOM;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z20;S. Verlant;M22;J. Salvat;NON
1007281;PLANETE TELECOM MELUN;21 RUE RENE POUTEAU;;77000;MELUN;01 64 52 88 88;rpv.melun@planetetelecom.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1001061;PLANETE TELECOM;IC08;INDEPENDANTS;AG01;Ile-de-France PGP;Z19;J. Zenou;M70;A. Fakhour;NON
1007349;ESPACE COM' POITIERS - ALIPHONE;23 RUE DES GRANDES ECOLES;;86000;POITIERS;05 49 45 00 14;poitiers-cv@aliphone.fr;C3;C3 Réseau Direct;3I;EspaceSFR indep Nv.E;1011906;ALIPHONE;IC08;INDEPENDANTS;AG06;Sud-Ouest PGP;Z13;D. Sauvanet;M43;V. Bernard;
1007353;RADIOTEL AUVERGNE MOULINS;39 RUE D'ALLIER;;3000;MOULINS;04 70 20 24 51;moulins@radiotel.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1049009;RADIOTEL AUVERGNE;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z09;A. Chareyron;M24;PAP 1 CE;NON
1007357;EQUIP AUTO - EQUIP TEL ALES;7 RUE DE LA REPUBLIQUE;;30100;ALES;04 66 52 02 59;espacesfr.ales@gmail.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1002191;EQUIP'AUTO;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z16;S. Mattei;M87;M. Gonzalez;NON
1007539;AB COM 2000 VINCENNES;12 AVENUE DU CHATEAU;;94300;VINCENNES;01 43 98 43 43;espace.vincennes@abcom2000.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1004536;AB COM 2000;IC08;INDEPENDANTS;AG01;Ile-de-France PGP;Z02;D. Sartori;M69;A. Marcel;NON
1008269;TIME AUBERVILLIERS;5 AVENUE JEAN JAURES;;93300;AUBERVILLIERS;01 53 56 19 99;time3000aubervilliersespacesfr2@hotmail.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1008300;TIME AUBERVILLIERS;IC08;INDEPENDANTS;AG01;Ile-de-France PGP;Z01;S. Morin;M71;B. Masset;NON
1008304;MDSL GROUPE BEYNOST;C CIAL BEYNOST II;;1700;BEYNOST;04 78 55 13 81;beynost@espacesfr-mdsl.fr;C3;C3 Réseau Direct;S3;EspaceSFR indep 2009;1033822;MDSL GROUPE;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z20;S. Verlant;M76;S. Benyoussef;NON
1008307;PHONEVASION BRIANCON;1 RUE CENTRALE;;5100;BRIANCON;04 92 21 01 89;espacesfr.briancon@sfr.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1010248;PHONEVASION;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z16;S. Mattei;M27;D. Laurent;NON
1008309;ALPHA MOBILES LILLE GAMBETTA;280 RUE GAMBETTA;;59000;LILLE;03 20 30 02 66;lille.gambetta@alphamobiles.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1001807;ALPHA MOBILES SYSTEMES;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z05;MA. Roquette;M08;L. Ghemmaz;NON
1009643;SPIRAL - CAVAILLON;36 PLACE GAMBETTA;;84300;CAVAILLON;04 90 76 26 74;kevin@gueudet.org;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1021280;SPIRAL;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z16;S. Mattei;M27;D. Laurent;NON
1010213;STRASBOURG TELECOM;30 PLACE KLEBER;;67000;STRASBOURG;03 88 21 90 01;strasbourg.telecom@neuf.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1001883;FISCHER TELECOM SAS;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z07;G. Dommain;M05;E. Feltes;NON
1010322;E-LOGGER AIX LES BAINS;7 PLACE CARNOT;;73100;AIX LES BAINS;04 79 88 85 26;quentin.grelet@highwayfrance.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1000411;HIGHWAY FRANCE;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z08;D. Parent Claude;M16;A. Diouani;NON
1011229;RADIOTEL AUVERGNE VICHY;22 RUE GEORGES CLEMENCEAU;;3200;VICHY;04 70 31 07 17;vichy@radiotel.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1049009;RADIOTEL AUVERGNE;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z09;A. Chareyron;M24;PAP 1 CE;NON
1011372;PLANETE TELECOM MEAUX;C CIAL LES SAISONS DE MEAUX;3 AV ROLAND MORENO, 1er Etage;77124;CHAUCONIN NEUFMONTIERS;01 60 44 59 29;rpv.meaux@planetetelecom.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1001061;PLANETE TELECOM;IC08;INDEPENDANTS;AG01;Ile-de-France PGP;Z19;J. Zenou;M74;J. Bertout;NON
1011703;MODULO CARTES ARGENTAN;4 RUE DE LA CHAUSSEE;;61200;ARGENTAN;02 33 35 86 89;argentan@modulocartes.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1001777;MODULO CARTES GRAND PUBLIC;IC08;INDEPENDANTS;AG03;Ouest PGP;Z21;G. Allain;M49;S. Menin;NON
1011733;POLE COMMUNICATION ST DIE DES VOSGE;22 RUE THIERS;;88100;SAINT DIE DES VOSGES;03 29 42 17 45;polecommunication.stdie@gmail.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1022444;POLE COMMUNICATION;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z25;A. Laroche;M78;S. Issele;NON
1012151;PHILLIPPS TELECOM SAVERNE;100 GRANDE RUE;;67700;SAVERNE;03 88 71 29 39;phillipps.telecom@live.fr;C3;C3 Réseau Direct;S3;EspaceSFR indep 2009;1012151;PHILLIPPS TELECOM SAVERNE;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z07;G. Dommain;M77;G. Lacoste;NON
1012406;B&J VILLEFRANCHE;102 BIS AVENUE DU QUERCY;;12200;VILLEFRANCHE DE ROUERGUE;05 65 45 74 10;bj.villefranche@averontel.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1047543;B&J VILLEFRANCHE;IC08;INDEPENDANTS;AG06;Sud-Ouest PGP;Z26;R. Juan;M39;I. Trift;NON
1012593;FOX TELECOM MONTEREAU;ESPACE COMMERCIAL LE BREAU;;77130;MONTEREAU FAULT YONNE;01 64 70 70 00;montereau@foxtelecom.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1000683;FOX TELECOM;IC08;INDEPENDANTS;AG01;Ile-de-France PGP;Z19;J. Zenou;M70;A. Fakhour;NON
1012595;LCT PAU;22/24 RUE SERVIEZ;PALAIS DES PYRENEES;64000;PAU;05 59 98 49 65;espacesfr.pau@lct.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1022367;LCT;IC08;INDEPENDANTS;AG06;Sud-Ouest PGP;Z12;N. Saint Esteben;M85;N.Bardou;NON
1013026;SARREGUEMINES TELECOM;20 RUE DE L'EGLISE;;57200;SARREGUEMINES;03 87 28 70 64;sarreguemines.telecom@gmail.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1001883;FISCHER TELECOM SAS;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z07;G. Dommain;M77;G. Lacoste;NON
1013203;MDSL GROUPE CC BOURGOIN JALLIEU;C CIAL LECLERC;15 AVENUE HENRI BARBUSSE;38300;BOURGOIN JALLIEU;04 37 03 05 57;bourgoin@espacesfr-mdsl.fr;C3;C3 Réseau Direct;S3;EspaceSFR indep 2009;1033822;MDSL GROUPE;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z08;D. Parent Claude;M18;N. Manai Fayollat;NON
1013415;SIMONEM ESPACE MEDIA ROYAN;5 COURS DE L EUROPE;;17200;ROYAN;05 46 22 25 00;royanespacesfr@gmail.com;C3;C3 Réseau Direct;S3;EspaceSFR indep 2009;1001869;SIMONEM/ESPACE MEDIA;IC08;INDEPENDANTS;AG06;Sud-Ouest PGP;Z13;D. Sauvanet;M44;P. Soetaert;NON
1013695;CORSE GSM AJACCIO MEZZAVIA;C CIAL GEANT MEZZAVIA;;20167;AJACCIO;04 95 20 15 15;agence10@corsegsm.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1011560;CORSE GSM / SOCODI;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z10;F. Depreeuw;M37;D. Alcantara;NON
1013696;CORSE GSM Ccial ROCADE FURIANI;C CIAL LA ROCADE - RN193;;20600;FURIANI;04 95 30 55 30;agence8@corsegsm.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1011560;CORSE GSM / SOCODI;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z10;F. Depreeuw;M37;D. Alcantara;NON
1014055;GAMES GENERATION TONALITE GARDANNE;C CIAL CARREFOUR MARKET;;13120;GARDANNE;04 42 51 41 55;magtona@hotmail.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1036738;GAMES GENERATION TONALITE;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z11;L. Limbal;M34;N. Bordji;NON
1014147;INTERCOM LANNION;14 QUAI DE L'AIGUILLON;;22300;LANNION;02 96 46 44 44;sfrlannion@ferrontelecom.com;C3;C3 Réseau Direct;S3;EspaceSFR indep 2009;1000632;FERRON TELECOM;IC08;INDEPENDANTS;AG03;Ouest PGP;Z22;Y. Daniel;M09;P. Quilgars;NON
1014448;RED CELL VERSAILLES;9 RUE DUCIS;;78000;VERSAILLES;01 39 24 08 08;espace.redcell@gmail.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1014447;RED CELL;IC08;INDEPENDANTS;AG01;Ile-de-France PGP;Z01;S. Morin;M63;Y. Ahsinat;NON
1014781;ABC COM CHALON GRANDE RUE;38 GRANDE RUE;;71100;CHALON SUR SAONE;03 85 94 91 70;espacesfr.granderue@abccom.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;869000;ABC COM;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z20;S. Verlant;M19;V. Bruneau;NON
1015020;ALOUETTE TELECOM LES HERBIERS;19 PLACE DES DROITS DE L'HOMME;;85500;LES HERBIERS;02 51 92 98 38;sfrlesherbiers@sfr.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1025582;ALOUETTE TELECOM;IC08;INDEPENDANTS;AG03;Ouest PGP;Z22;Y. Daniel;M53;C. Dupont Mancel;NON
1015425;RADIOTEL AUVERGNE RIOM;CC CARREFOUR RIOM SUD;AVENUE DE CLERMONT;63200;MENETROL;04 15 32 14 80;riom@radiotel.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1049009;RADIOTEL AUVERGNE;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z09;A. Chareyron;M24;PAP 1 CE;NON
1016000;INTER COM GRANVILLE;69 RUE DE COURAYE;;50400;GRANVILLE;02 33 91 29 35;sfrgranville@ferrontelecom.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1000632;FERRON TELECOM;IC08;INDEPENDANTS;AG03;Ouest PGP;Z21;G. Allain;M49;S. Menin;NON
1016524;ALPHA MOBILES ARRAS;2 RUE PASTEUR;;62000;ARRAS;03 21 23 78 18;arras@alphamobiles.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1001807;ALPHA MOBILES SYSTEMES;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z05;MA. Roquette;M14;M. Lesschave;NON
1016540;REVOLEA MAUBEUGE;37 AVENUE DE FRANCE;;59600;MAUBEUGE;03 27 58 07 95;revolea.maubeuge@sfr.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1033764;REVOLEA;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z23;F. Groux;M07;M. Matuszak;NON
1016541;AUDIOPHONE CREPY EN VALOIS;4 PLACE MICHEL DUPUY;;60800;CREPY EN VALOIS;03 44 39 04 04;sfrcrepyenvalois@audiophone.net;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1017128;AUDIOPHONE;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z23;F. Groux;M03;O. Lambin;NON
